id	left	target	right	file
herstructureer/verb/nrc_handelsblad_20040207_193/28	huid gezeten door schuldeisers . Kernpunt is dat de Argentijnse regering voortgang boekt bij het	herstructureren	"van de buitenlandse schuld . 	 Cruciaal 	 , vindt Kremers . Als Argentinië geen"	nrc_handelsblad_20040207_193
herstructureer/verb/nrc_handelsblad_20031018_122/403	de schuldeisers . De onderhandelingen over hoe de leningen van in totaal 896 miljoen te	herstructureren	duren al maanden en toen er vorige week eindelijk nieuws kwam over de gesprekken ging	nrc_handelsblad_20031018_122
herstructureer/verb/nrc_handelsblad_20020226_80/223	"met harde hand te saneren , maar vindt ook dat je 	 niet eeuwig kunt"	herstructureren	"	 . Het succes van de Frans-Japanse onderneming hangt volgens het blad af van de"	nrc_handelsblad_20020226_80
herstructureer/verb/nrc_handelsblad_20020302_2/746	Peking moet haar boerderij binnenkort wijken voor een nieuwe weg . Het hele gebied wordt	geherstructureerd	in het kader van de Olympische Spelen van 2008 . Dat baart haar grote zorgen	nrc_handelsblad_20020302_2
herstructureer/verb/nrc_handelsblad_20031011_146/207	. Als Hagemeyer erin slaagt om voor 9 november van dit jaar zijn schulden te	herstructureren	, nieuw kapitaal aan te trekken , met een andere onderneming in zee te gaan	nrc_handelsblad_20031011_146
herstructureer/verb/nrc_handelsblad_20010724_6/601	. Wat nu van Philips te denken ? Het bedrijf zal flink ( moeten )	herstructureren	en gaat een jaar in waarover lage winstcijfers gepresenteerd worden . Verliezen wellicht . Het	nrc_handelsblad_20010724_6
herstructureer/verb/nrc_handelsblad_20001107_11/372	toen de crisis uitbrak nam de overheid een belang in de banken om ze te	herstructureren	"en uiteindelijk weer te verkopen . 	 Deze regering wàs in het begin zeer ambitieus"	nrc_handelsblad_20001107_11
herstructureer/verb/nrc_handelsblad_20030904_74/6	Het biotechnologiebedrijf Isotis gaat fors	herstructureren	om de resultaten te verbeteren . Het aantal werknemers gaat met 29 procent omlaag ,	nrc_handelsblad_20030904_74
herstructureer/verb/nrc_handelsblad_20010323_90/129	mensen ontslaan . Het probleem met dit alles is dat terwijl Yurko druk aan het	herstructureren	is , zijn bedrijf op een dreigende financiële chaos afstevent . De winst loopt terug	nrc_handelsblad_20010323_90
herstructureer/verb/nrc_handelsblad_20010411_55/488	tienduizenden mensen hun baan . Maar de kosten werden omlaag gebracht , de productieprogramma's werden	geherstructureerd	, hetgeen vorig jaar weer resulteerde in een voor Boeing bescheiden nettowinst van 2,1 miljard	nrc_handelsblad_20010411_55
herstructureer/verb/nrc_handelsblad_20010308_31/92	nieuws . Koogle wordt verweten dat hij er niet in is geslaagd het bedrijf te	herstructureren	, terwijl sinds vorig jaar al duidelijk was dat de groei van inkomsten uit advertenties	nrc_handelsblad_20010308_31
herstructureer/verb/nrc_handelsblad_20020330_13/384	aandelen met een echte waarde als zekerheid hebben , en mogelijk doordat hun leningen worden	geherstructureerd	als onderdeel van de tegenprestatie voor die aandelenaankoop . De overeenkomst gaat waarschijnlijk ook slechts	nrc_handelsblad_20020330_13
herstructureer/verb/nrc_handelsblad_20030823_73/122	, zijn de problemen per definitie minder groot . Want dacht je dat Unilever niet	herstructureert	? Shell Nederland heeft met dezelfde structuurproblemen gekampt als wij . En elk concern ziet	nrc_handelsblad_20030823_73
herstructureer/verb/nrc_handelsblad_20010427_174/284	voor de problemen van British Telecom zijn . Het concern zal van kop tot staart	geherstructureerd	moeten worden . Niet-strategische belangen moeten worden verkocht , zij het rustig en weloverwogen en	nrc_handelsblad_20010427_174
herstructureer/verb/nrc_handelsblad_20010307_6/335	Giovanna Melandri onderstreepte in een reactie op de arrestaties dat het Inda in 1998 is	geherstructureerd	, met onder andere verandering van de voltallige leiding	nrc_handelsblad_20010307_6
herstructureer/verb/nrc_handelsblad_19991229_61/111	waar tweederde van het personeel werkzaam is . Stork dient de Nederlandse ingenieursbedrijven eerst te	herstructureren	voor Jacobs ze overneemt . Hierbij gaan volgens bestuursvoorzitter A. Veenman van Stork zeker ontslagen	nrc_handelsblad_19991229_61
herstructureer/verb/nrc_handelsblad_20010314_26/1313	maken die sterk door branding . Andere overnemende partijen zijn heel sterk in het snel	herstructureren	en efficiënter maken van overgenomen partijen . Dus het scheppen van waarde door een niet-synergetische	nrc_handelsblad_20010314_26
herstructureer/verb/nrc_handelsblad_20020319_26/17	Bank gaat , in navolging van ABN Amro , Rabobank en Fortis , zijn kantorennetwerk	herstructureren	. Daarbij verdwijnen ruim 580 van de 5.200 banen en worden 17 kantoren gesloten	nrc_handelsblad_20020319_26
herstructureer/verb/nrc_handelsblad_20011030_75/97	van minister van Economische Zaken Cavallo om de Argentijnse overheidsschuld van 132 miljard dollar te	herstructureren	. Argentinië heeft grote moeite om aan zijn verplichtingen te voldoen . Sinds december kwam	nrc_handelsblad_20011030_75
herstructureer/verb/nrc_handelsblad_20020306_87/204	Commissie is het vooral een binnenlands probleem . Waar de staalindustrie in de EU fors	herstructureerde	, bleef zo'n sanering in de Verenigde Staten grotendeels achterwege . Tussen 1993 en 2000	nrc_handelsblad_20020306_87
herstructureer/verb/nrc_handelsblad_20000707_107/52	neerleggen uit protest tegen de plannen van de regering om de financiële sector omvangrijk te	herstructureren	. Daardoor gaan vrijwel zeker banen verdwijnen . Zo'n 40.000 van de 60.000 bij vakbonden	nrc_handelsblad_20000707_107
herstructureer/verb/nrc_handelsblad_20010531_3/33	te hervormen . Eerst waren er de ambitieuze plannen om de noodlijdende elektriciteitsgigant UES te	herstructureren	. Nu heeft de nieuwe wind ook 's werelds grootste gasbedrijf Gazprom bereikt . Na	nrc_handelsblad_20010531_3
herstructureer/verb/nrc_handelsblad_20010519_15/391	"voetbaljeugd : 	 De voetbalbond ouwehoert al jaren over een plan om het jeugdvoetbal te"	herstructureren	, maar daar komt nooit iets van terecht . Zo'n Masterplan valt of staat met	nrc_handelsblad_20010519_15
herstructureer/verb/nrc_handelsblad_20020117_119/885	topcoaches , want ze heeft geen idee wie haar zou kunnen begeleiden . Bij het	herstructureren	van de tennisbond zou technisch-directeur Hans Felius prioriteit moeten geven aan de opleiding van trainers	nrc_handelsblad_20020117_119
herstructureer/verb/nrc_handelsblad_20020109_10/44	elektronicaconcern heeft de afgelopen twintig jaar eigenlijk steeds weer teleurgesteld . Initiatieven om Philips te	herstructureren	kennen meestal een veelbelovende start en lopen vervolgens vast in apathie . Kleisterlee's belangrijkste belofte	nrc_handelsblad_20020109_10
herstructureer/verb/nrc_handelsblad_20021011_5/768	fabriek op Sicilië . En dat terwijl de meeste fabrieken in het noorden slechts worden	geherstructureerd	. Juist door zo lijnrecht tegen het overheidsbeleid in te gaan , hoopt de fabrikant	nrc_handelsblad_20021011_5
herstructureer/verb/nrc_handelsblad_20020603_119/250	gouden tijdperk weer een kleine tennisnatie . In oktober 1999 werd besloten de opleiding te	herstructureren	. In het beleidsplan ` Samen naar de Top ' werden de fundamenten voor een	nrc_handelsblad_20020603_119
herstructureer/verb/volkskrant_20010224_147/1876	een bestaand traject . ' Ik geloof bovendien dat niet alleen links zich aan het	herstructureren	is , maar ook rechts . De christen-democratie-oude-stijl is in veel landen in elkaar gezakt	volkskrant_20010224_147
herstructureer/verb/volkskrant_19990402_71/103	Vanenburg Group . Interim-manager Frijling krijgt tot taak om de portfolio van Vanenburg Groep te	herstructureren	. ' Van elk bedrijf zal worden bekenen waar het de beste toekomst heeft '	volkskrant_19990402_71
herstructureer/verb/volkskrant_19990305_94/76	Waar blijven de maatregelen voor verbetering van de verkeersveiligheid ? Worden gevaarlijke trajecten met voorrang	geherstructureerd	? Wordt het aantal snelheids- en alcoholcontroles drastisch opgevoerd ? Nee , dus ! Hier	volkskrant_19990305_94
herstructureer/verb/volkskrant_20010606_39/71	Bertelsmann-topman Th. Middelhoff . Het memo markeert de ambities van Bertelsmann . Eerder dit jaar	herstructureerde	het bedrijf , onder meer bekend van de boekenclub ECI en muziekuitgever BMG , al	volkskrant_20010606_39
herstructureer/verb/volkskrant_19991016_56/764	gewone automotive-onderneming te worden . Adtranz lijdt nu verlies , dus dat zal eerst worden	geherstructureerd	. Ik ben er zeker van dat het daarna verkocht zal worden . En die	volkskrant_19991016_56
herstructureer/verb/volkskrant_19990313_10/2559	Noechajev nog meer een man met een missie geworden . De Tsjetsjeense samenleving moet worden	geherstructureerd	volgens oude principes : ' De totalitaire samenleving van de Sovjet-Unie is beëindigd , maar	volkskrant_19990313_10
herstructureer/verb/volkskrant_20040211_38/126	is ondergebracht in een aparte divisie , samen met het Rotterdams Dagblad , en wordt	geherstructureerd	. Supermarktketen Aldi mag niet van haar filiaalhouders verlangen dat zij langer werken dan in	volkskrant_20040211_38
herstructureer/verb/volkskrant_20010317_214/175	De merksanering is een van de manieren waarop Campina Melkunie zijn productie en marketing wil	herstructureren	. De coöperatie , die nu 24 vestigingen telt , wil de productie verder concentreren	volkskrant_20010317_214
herstructureer/verb/volkskrant_20000805_81/10	In navolging van branchegenoten gaat ook Unilever zijn top	herstructureren	. De nieuwe ' weg naar groei ' gaat voorlopig ten koste van het streven	volkskrant_20000805_81
herstructureer/verb/volkskrant_20030619_71/308	als jonge dertiger door president Valéry Giscard d'Estaing aangesteld om de Franse staatsindustriëen mede te	herstructureren	. Typerend voor Trichet was dat het aantreden van de socialist Mitterrand in 1981 voor	volkskrant_20030619_71
herstructureer/verb/volkskrant_20030524_102/329	dankzij de zwakke euro Nederlandse spullen goedkoop waren in Amerika , onvoldoende gebruikt om te	herstructureren	, meent Wellink . Nu de euro terug is ' op het gemiddelde van de	volkskrant_20030524_102
herstructureer/verb/volkskrant_19990224_45/41	staatsbank , de op twee na grootste bank in Roemenië , te privatiseren en te	herstructureren	. Die plannen maken onderdeel uit van de beloofde markthervormingen in Roemenië	volkskrant_19990224_45
herstructureer/verb/volkskrant_20000212_76/65	door een pijnlijke pensioenbreuk niet vanzelfsprekend meer was , moest ik mijn geldelijke huishouding gaan	herstructureren	. Op advies van mijn accountant ben ik daarom zeven jaar geleden gaan beleggen .	volkskrant_20000212_76
herstructureer/verb/volkskrant_20010308_162/401	Het bruinst bakte het Lu Liang , een magiër die een noodlijdende staatskippenboerderij in recordtijd	herstructureerde	tot een high-biotech-bedrijf met stratosferische noteringen . In twee maanden tijd stegen de aandelen van	volkskrant_20010308_162
herstructureer/verb/volkskrant_20010306_9/295	het hoofd . In de westerse wereld hebben bedrijven in problemen een prikkel om te	herstructureren	, zegt fondsbeheerder J. Ooms van het Fortis Japan Fund . Ondernemers moeten zelf weer	volkskrant_20010306_9
herstructureer/verb/volkskrant_19990302_3/1553	is goed voor 11 procent . Het kabinet wil de grote steden en de te	herstructureren	varkensgebieden eveneens in de regeling onderbrengen . Ziedaar het dilemma . Ter Beek : '	volkskrant_19990302_3
herstructureer/verb/volkskrant_20031120_83/233	Open erbij krijgen , gaat er aan de andere kant vanaf . ' De NDF	herstructureerde	zich op last van VWS . Die reorganisatie was een geweldig karwei . ' Volgens	volkskrant_20031120_83
herstructureer/verb/volkskrant_19990626_113/85	Wanneer ik de kandidaten bekijk , en niet weer een minder minder succesvol merk wil	herstructureren	, valt de keus automatisch op Scania . Daar wordt al jaren goed en winstgevend	volkskrant_19990626_113
herstructureer/verb/volkskrant_20030410_77/376	een enorme hoeveelheid hulp nodig en natuurlijk het kwijtschelden , of in elk geval het	herstructureren	van de schulden uit het tijdperk Saddam Hussein . Alleen dan zal het Iraakse volk	volkskrant_20030410_77
herstructureer/verb/parool_19990708_70/1108	verkeerswegen en knooppunten . Landen zijn voortdurend bezig dat netwerk tot 7,5 kilometer hoogte te	herstructureren	. Nederland heeft bijvoorbeeld de route naar het zuiden verbreed . Verder wordt vliegers in	parool_19990708_70
herstructureer/verb/parool_20040626_150/63	. De Amerikaanse pensioenfondsen hebben weinig vertrouwen in de beloften van Shell dat de top	geherstructureerd	wordt . Ze willen een beter toezicht op het management en meer invloed van aandeelhouders	parool_20040626_150
herstructureer/verb/parool_19990324_23/622	in Atlanta , Georgia , repte van een voornemen om niet alleen Pathmarks schulden te	herstructureren	, maar ook ' bepaalde administratieve functies te integreren ' . Toch ontkent Ahold dat	parool_19990324_23
herstructureer/verb/parool_20001130_36/444	geen papier meer . Noord hééft de laatste jaren al op een fantastische manier bedrijfsterreinen	geherstructureerd	. Bij de Cornelis Douwesweg bijvoorbeeld . Vier jaar geleden was het daar nog vreselijk	parool_20001130_36
herstructureer/verb/parool_19990113_121/833	beetje te vol geworden . Inmiddels zijn heel wat gemeenten druk bezig de zaak te	herstructureren	en er is ook veel meer oog gekomen voor een evenwicht tussen economische druk en	parool_19990113_121
herstructureer/verb/parool_19991028_104/142	andere uitgevers juist hun belangen in lokale en regionale televisie af te stoten of te	herstructureren	. VNU , Telegraaf en PCM trokken zich terug uit TV8 Limburg , TV8 Brabant	parool_19991028_104
herstructureer/verb/parool_20010821_55/175	al stelde Achmea het zelfstandige Scaramea voor de keus : kijk eens of je kunt	herstructureren	". Maar er gebeurde niets . 	 Tot op heden is de boel daar niet"	parool_20010821_55
herstructureer/verb/parool_20010515_5/7	De crisisorganisatie van NS-Reizigers zal worden	geherstructureerd	om aan extreme verstoringen als op Koninginnedag beter het hoofd te kunnen bieden . Dit	parool_20010515_5
herstructureer/verb/parool_20030416_69/109	na dood , ofwel , staat op de rand van faillissement en moet grondig worden	geherstructureerd	. OK-score kent een OK-solvabiliteitsratio en een OK-ratio . Bij de solvabiliteit , het vermogen	parool_20030416_69
herstructureer/verb/parool_20031206_66/410	om de buitenlandse schuld van Irak , die zo'n 120 miljard dollar bedraagt , te	herstructureren	danwel te laten kwijtschelden , zodat ' er geen hypotheek wordt gelegd op de toekomst	parool_20031206_66
herstructureer/verb/parool_20011229_48/678	weer het vertrouwen krijgen dat onroerendgoed- en aandelenprijzen zullen stijgen . De bankensector moet worden	geherstructureerd	. Niet voor niets worden de westerse bewindslieden wat nerveus van de situatie in Japan	parool_20011229_48
herstructureer/verb/parool_19990803_11/37	verkoop nadat zijn Franse autopartner Renault daarom had gevraagd . Nissan wil het concern verder	herstructureren	om weer winstgevend te worden	parool_19990803_11
herstructureer/verb/parool_20010725_17/570	"nu niet meer gebeurt . 	 Ook de IBRA , de organisatie die de banken"	herstructureert	en failliete bedrijven probeert te verkopen functioneert slecht . De organisatie kan niet onafhankelijk functioneren	parool_20010725_17
