id	left	target	right	file
geestig/adj/nrc_handelsblad_20010831_117/94	en toe te ontroeren ' en de verhalen zijn ` op een enkele flauwiteit na	geestig	en goed geschreven ' ( Pieter Steinz , 3.11.00 ) . In The Sooterkin (	nrc_handelsblad_20010831_117
geestig/adj/nrc_handelsblad_20000915_33/681	de voetangels en klemmen van de moderne liefde , maar biedt ook een licht en	geestig	portret van een groepje twintigers in het dorp Amsterdam , waar iedereen in dezelfde cafés	nrc_handelsblad_20000915_33
geestig/adj/nrc_handelsblad_20000818_63/1980	Lammens , die in 1736 als geprivilegieerde passagiers van Vlissingen naar Batavia zeilden en een	geestig	verslag van hun reis hebben nagelaten . Verveling komt men ook tegen bij Du Perron	nrc_handelsblad_20000818_63
geestig/adj/nrc_handelsblad_20011130_154/266	wat mooi is Panama ( 1978 ) . Janosch tekent en schrijft , krasserig en	geestig	, nooit zoet , nooit kinderachtig . Zijn Kleine Beer en Kleine Tijger gaan op	nrc_handelsblad_20011130_154
geestig/adj/nrc_handelsblad_20040220_125/179	overgevoeligheden . Tegelijkertijd blijft er voor kinderen een waarheid als een koe over die evenzogoed	geestig	is . Zullen kinderen ook ( glim-)lachen om Het boek van alle dingen ? Nee	nrc_handelsblad_20040220_125
geestig/adj/nrc_handelsblad_20010214_28/323	in de toetsen grijpende pianist Jeff Cohen werd gekenmerkt door intelligente interacties . In de	geestige	minicyclus Le Bestiaire van Francis Poulenc betoonde Le Roux zich bovendien een echt zanger-acteur ,	nrc_handelsblad_20010214_28
geestig/adj/nrc_handelsblad_20001201_188/1562	is een kenau met een knot en een schort . Hondius is niet steeds even	geestig	, ook bij haar overvalt de lezer soms een gevoel van overbodigheid en verveling ,	nrc_handelsblad_20001201_188
geestig/adj/nrc_handelsblad_20001216_8/781	over de Oost-Berlijnse wijk Pankow , waar veel communistische leiders een villa hadden , een	geestig	"lied gemaakt . 	 Entschuldigen Sie , ist das der Sonderzug nach Pankow / Ich"	nrc_handelsblad_20001216_8
geestig/adj/nrc_handelsblad_20000218_54/489	wordt een slag . De rest onklaar maken is kinderspel . Zo'n vers is even	geestig	als verontrustend , en dit geldt voor veel andere gedichten in Dansmuziek . Of het	nrc_handelsblad_20000218_54
geestig/adj/nrc_handelsblad_20010410_100/133	hun badjassen zijn het stuk voor stuk aantrekkelijke Rubenstypes en ze snurken nauwelijks . Onder	geestig	bedoelde koppen als ` Gigabuik ' en ` Big Brother Light ' worden zogenaamd leuke	nrc_handelsblad_20010410_100
geestig/adj/nrc_handelsblad_20001004_8/161	zus en ouders vaak niet volgen en verzint er zijn eigen uitleg bij . Echt	geestig	wil Bobby's World echter niet worden , daarvoor is het te veel op een koopje	nrc_handelsblad_20001004_8
geestig/adj/nrc_handelsblad_20000211_4/2609	zoals in de film van Karim Traïda , de spanning doorbreekt ? Waar is het	geestige	cynisme dat hedendaagse Marokkaanse romans zo leesbaar maakt ? In plaats daarvan laat Benmalek op	nrc_handelsblad_20000211_4
geestig/adj/nrc_handelsblad_20020104_19/2051	Gelukkig blijft het niet bij deze fabels van Aesopus alleen . In Minoes wordt bijvoorbeeld	geestig	gegoocheld met de inconsequenties van het menselijk inlevingsvermogen - de opgezette dieren aan de muur	nrc_handelsblad_20020104_19
geestig/adj/nrc_handelsblad_20011005_139/38	van de hemel ' . ` Een meesterwerk ' , vindt Fry . Harry Mulisch	geestig	"? 	 Not exactly 	 , zegt Stephen Fry . Hij steekt met een vuist"	nrc_handelsblad_20011005_139
geestig/adj/nrc_handelsblad_20010112_100/468	fakkel maar heeft overgenomen . Dat is een mooie versie van het broederschap in deze	geestige	, op de juiste manier tobberige en ook blijmoedig stemmende voorstelling : broers zijn onafscheidelijk	nrc_handelsblad_20010112_100
geestig/adj/nrc_handelsblad_20021004_26/68	gesproken als over ` dat Poolse huisvrouwtje ' . Camps noemt Claus ' gechargeerde ,	geestige	uitval een losse flodder , waaraan Szymborska zelf schuld had door haar zelfprofilering in haar	nrc_handelsblad_20021004_26
